onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv	viv_time	viv_displaytime	viv_triggertime	viv_triggercode
27.208984375	0.0	80	55724	1	77	70	0	1	1543098.8265114	1543098.8270885	80	1543102.1798697	1543102.1804483	40	1543105.2358529	1543105.2365038	100	del	1543107.2767664	nan	nan	nan	nan	nan
30.5625	0.0	40	62592	1	77	70	0	1	1543098.8265114	1543098.8270885	80	1543102.1798697	1543102.1804483	40	1543105.2358529	1543105.2365038	100	del	1543107.2767664	nan	nan	nan	nan	nan
33.6181640625	0.0	100	68850	1	77	70	0	1	1543098.8265114	1543098.8270885	80	1543102.1798697	1543102.1804483	40	1543105.2358529	1543105.2365038	100	del	1543107.2767664	nan	nan	nan	nan	nan
38.1943359375	0.0	80	78222	2	50	20	0	1	1543109.811976	1543109.8125415	80	1543112.9630104	1543112.9634005	40	1543116.0157789	1543116.0162509	100	del	1543119.0356434	nan	nan	nan	nan	nan
41.34521484375	0.0	40	84675	2	50	20	0	1	1543109.811976	1543109.8125415	80	1543112.9630104	1543112.9634005	40	1543116.0157789	1543116.0162509	100	del	1543119.0356434	nan	nan	nan	nan	nan
44.39794921875	0.0	100	90927	2	50	20	0	1	1543109.811976	1543109.8125415	80	1543112.9630104	1543112.9634005	40	1543116.0157789	1543116.0162509	100	del	1543119.0356434	nan	nan	nan	nan	nan
50.3857421875	0.0	80	103190	3	60	20	0	1	1543122.0039319	1543122.0043987	80	1543125.4355184	1543125.4360383	40	1543128.6464643	1543128.64698	100	del	1543129.4439008	nan	nan	nan	nan	nan
53.8173828125	0.0	40	110218	3	60	20	0	1	1543122.0039319	1543122.0043987	80	1543125.4355184	1543125.4360383	40	1543128.6464643	1543128.64698	100	del	1543129.4439008	nan	nan	nan	nan	nan
57.0283203125	0.0	100	116794	3	60	20	0	1	1543122.0039319	1543122.0043987	80	1543125.4355184	1543125.4360383	40	1543128.6464643	1543128.64698	100	del	1543129.4439008	nan	nan	nan	nan	nan
60.42724609375	0.0	80	123755	4	63	400	0	1	1543132.0457633	1543132.0462887	80	1543135.2699292	1543135.2703984	40	1543138.4916285	1543138.4922401	100	imm	1543139.75599	nan	nan	nan	nan	nan
63.6513671875	0.0	40	130358	4	63	400	0	1	1543132.0457633	1543132.0462887	80	1543135.2699292	1543135.2703984	40	1543138.4916285	1543138.4922401	100	imm	1543139.75599	nan	nan	nan	nan	nan
66.873046875	0.0	100	136956	4	63	400	0	1	1543132.0457633	1543132.0462887	80	1543135.2699292	1543135.2703984	40	1543138.4916285	1543138.4922401	100	imm	1543139.75599	nan	nan	nan	nan	nan
71.01904296875	0.0	80	145447	5	53	210	0	1	1543142.6376274	1543142.6380642	80	1543145.8493365	1543145.8498526	40	1543149.3388313	1543149.3393502	100	imm	1543150.444653	nan	nan	nan	nan	nan
74.23046875	0.0	40	152024	5	53	210	0	1	1543142.6376274	1543142.6380642	80	1543145.8493365	1543145.8498526	40	1543149.3388313	1543149.3393502	100	imm	1543150.444653	nan	nan	nan	nan	nan
77.72021484375	0.0	100	159171	5	53	210	0	1	1543142.6376274	1543142.6380642	80	1543145.8493365	1543145.8498526	40	1543149.3388313	1543149.3393502	100	imm	1543150.444653	nan	nan	nan	nan	nan
81.80078125	0.0	80	167528	6	70	570	1	1	1543153.4195199	1543153.4199759	80	1543156.9025868	1543156.9030315	40	1543160.0833411	1543160.0836157	100	del	1543166.059738	1.0	1543169.0755817	1543166.5784752	1543166.5790355	120.0
