onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv	viv_time	viv_displaytime	viv_triggertime	viv_triggercode
27.03759765625	0.0	80	55373	1	60	790	0	0	1529164.8654312	1529164.86604	80	1529168.2294968	1529168.2300572	40	1529171.543195	1529171.5435242	100	imm	1529172.661247	nan	nan	nan	nan	nan
30.4013671875	0.0	40	62262	1	60	790	0	0	1529164.8654312	1529164.86604	80	1529168.2294968	1529168.2300572	40	1529171.543195	1529171.5435242	100	imm	1529172.661247	nan	nan	nan	nan	nan
33.71484375	0.0	100	69048	1	60	790	0	0	1529164.8654312	1529164.86604	80	1529168.2294968	1529168.2300572	40	1529171.543195	1529171.5435242	100	imm	1529172.661247	nan	nan	nan	nan	nan
37.66845703125	0.0	80	77145	2	67	210	1	0	1529175.4964297	1529175.4970098	80	1529178.9434367	1529178.9438838	40	1529182.2879745	1529182.2884076	100	imm	1529185.7348863	1.0	1529187.4939605	1529186.2540377	1529186.2545446	120.0
41.115234375	0.0	40	84204	2	67	210	1	0	1529175.4964297	1529175.4970098	80	1529178.9434367	1529178.9438838	40	1529182.2879745	1529182.2884076	100	imm	1529185.7348863	1.0	1529187.4939605	1529186.2540377	1529186.2545446	120.0
44.45947265625	0.0	100	91053	2	67	210	1	0	1529175.4964297	1529175.4970098	80	1529178.9434367	1529178.9438838	40	1529182.2879745	1529182.2884076	100	imm	1529185.7348863	1.0	1529187.4939605	1529186.2540377	1529186.2545446	120.0
48.42578125	0.0	120	99176	2	67	210	1	0	1529175.4964297	1529175.4970098	80	1529178.9434367	1529178.9438838	40	1529182.2879745	1529182.2884076	100	imm	1529185.7348863	1.0	1529187.4939605	1529186.2540377	1529186.2545446	120.0
52.119140625	0.0	80	106740	3	80	50	0	1	1529189.9478823	1529189.948403	80	1529193.189741	1529193.190243	40	1529196.2747513	1529196.2756133	100	del	1529197.7891601	nan	nan	nan	nan	nan
55.36083984375	0.0	40	113379	3	80	50	0	1	1529189.9478823	1529189.948403	80	1529193.189741	1529193.190243	40	1529196.2747513	1529196.2756133	100	del	1529197.7891601	nan	nan	nan	nan	nan
58.44580078125	0.0	100	119697	3	80	50	0	1	1529189.9478823	1529189.948403	80	1529193.189741	1529193.190243	40	1529196.2747513	1529196.2756133	100	del	1529197.7891601	nan	nan	nan	nan	nan
62.5126953125	0.0	80	128026	4	83	160	0	1	1529200.3415839	1529200.3420481	80	1529203.7063195	1529203.7068356	40	1529206.8736006	1529206.8741271	100	imm	1529209.3416322	nan	nan	nan	nan	nan
65.87744140625	0.0	40	134917	4	83	160	0	1	1529200.3415839	1529200.3420481	80	1529203.7063195	1529203.7068356	40	1529206.8736006	1529206.8741271	100	imm	1529209.3416322	nan	nan	nan	nan	nan
69.04443359375	0.0	100	141403	4	83	160	0	1	1529200.3415839	1529200.3420481	80	1529203.7063195	1529203.7068356	40	1529206.8736006	1529206.8741271	100	imm	1529209.3416322	nan	nan	nan	nan	nan
74.365234375	0.0	80	152300	5	60	15	1	1	1529212.1943338	1529212.1947833	80	1529215.5279072	1529215.5283317	40	1529218.8076929	1529218.8082463	100	imm	1529220.3094446	3.0	1529223.358749	1529220.8221038	1529220.8227047	120.0
77.69873046875	0.0	40	159127	5	60	15	1	1	1529212.1943338	1529212.1947833	80	1529215.5279072	1529215.5283317	40	1529218.8076929	1529218.8082463	100	imm	1529220.3094446	3.0	1529223.358749	1529220.8221038	1529220.8227047	120.0
80.978515625	0.0	100	165844	5	60	15	1	1	1529212.1943338	1529212.1947833	80	1529215.5279072	1529215.5283317	40	1529218.8076929	1529218.8082463	100	imm	1529220.3094446	3.0	1529223.358749	1529220.8221038	1529220.8227047	120.0
82.99267578125	0.0	120	169969	5	60	15	1	1	1529212.1943338	1529212.1947833	80	1529215.5279072	1529215.5283317	40	1529218.8076929	1529218.8082463	100	imm	1529220.3094446	3.0	1529223.358749	1529220.8221038	1529220.8227047	120.0
87.90234375	0.0	80	180024	6	93	600	1	1	1529225.7318419	1529225.7323212	80	1529228.9920438	1529228.9925015	40	1529232.2491483	1529232.2496319	100	imm	1529235.3336714	1.0	1529237.549326	1529235.8465493	1529235.8469962	120.0
91.162109375	0.0	40	186700	6	93	600	1	1	1529225.7318419	1529225.7323212	80	1529228.9920438	1529228.9925015	40	1529232.2491483	1529232.2496319	100	imm	1529235.3336714	1.0	1529237.549326	1529235.8465493	1529235.8469962	120.0
94.41943359375	0.0	100	193371	6	93	600	1	1	1529225.7318419	1529225.7323212	80	1529228.9920438	1529228.9925015	40	1529232.2491483	1529232.2496319	100	imm	1529235.3336714	1.0	1529237.549326	1529235.8465493	1529235.8469962	120.0
98.0166015625	0.0	120	200738	6	93	600	1	1	1529225.7318419	1529225.7323212	80	1529228.9920438	1529228.9925015	40	1529232.2491483	1529232.2496319	100	imm	1529235.3336714	1.0	1529237.549326	1529235.8465493	1529235.8469962	120.0
101.9833984375	0.0	80	208862	7	73	460	0	1	1529239.8134935	1529239.8139812	80	1529243.2894403	1529243.2899478	40	1529246.4970286	1529246.497611	100	imm	1529248.1100542	nan	nan	nan	nan	nan
105.45947265625	0.0	40	215981	7	73	460	0	1	1529239.8134935	1529239.8139812	80	1529243.2894403	1529243.2899478	40	1529246.4970286	1529246.497611	100	imm	1529248.1100542	nan	nan	nan	nan	nan
108.6669921875	0.0	100	222550	7	73	460	0	1	1529239.8134935	1529239.8139812	80	1529243.2894403	1529243.2899478	40	1529246.4970286	1529246.497611	100	imm	1529248.1100542	nan	nan	nan	nan	nan
112.8564453125	0.0	80	231130	8	67	160	0	0	1529250.6868317	1529250.6873442	80	1529253.8147712	1529253.8152749	40	1529257.1710216	1529257.1715154	100	imm	1529258.0220671	nan	nan	nan	nan	nan
115.984375	0.0	40	237536	8	67	160	0	0	1529250.6868317	1529250.6873442	80	1529253.8147712	1529253.8152749	40	1529257.1710216	1529257.1715154	100	imm	1529258.0220671	nan	nan	nan	nan	nan
