onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv_displaytime	viv_triggertime	viv_triggercode	viv	viv_time
47.46142578125	0.0	80	97201	1	97	800	1	0	1678225.0157431	1678225.0170834	80	1678228.2176446	1678228.2185351	40	1678231.347498	1678231.3485267	100	del	1678233.2553159	1678233.7770916	1678233.7780427	120.0	2.0	1678236.1422157
50.66357421875	0.0	40	103759	1	97	800	1	0	1678225.0157431	1678225.0170834	80	1678228.2176446	1678228.2185351	40	1678231.347498	1678231.3485267	100	del	1678233.2553159	1678233.7770916	1678233.7780427	120.0	2.0	1678236.1422157
53.79345703125	0.0	100	110169	1	97	800	1	0	1678225.0157431	1678225.0170834	80	1678228.2176446	1678228.2185351	40	1678231.347498	1678231.3485267	100	del	1678233.2553159	1678233.7770916	1678233.7780427	120.0	2.0	1678236.1422157
56.22265625	0.0	120	115144	1	97	800	1	0	1678225.0157431	1678225.0170834	80	1678228.2176446	1678228.2185351	40	1678231.347498	1678231.3485267	100	del	1678233.2553159	1678233.7770916	1678233.7780427	120.0	2.0	1678236.1422157
60.8505859375	0.0	80	124622	2	83	560	0	1	1678238.4051298	1678238.4059211	80	1678241.5836744	1678241.5843545	40	1678245.0755685	1678245.0762934	100	del	1678246.1653447	nan	nan	nan	nan	nan
64.029296875	0.0	40	131132	2	83	560	0	1	1678238.4051298	1678238.4059211	80	1678241.5836744	1678241.5843545	40	1678245.0755685	1678245.0762934	100	del	1678246.1653447	nan	nan	nan	nan	nan
67.521484375	0.0	100	138284	2	83	560	0	1	1678238.4051298	1678238.4059211	80	1678241.5836744	1678241.5843545	40	1678245.0755685	1678245.0762934	100	del	1678246.1653447	nan	nan	nan	nan	nan
71.5947265625	0.0	80	146626	3	53	280	0	0	1678249.1496968	1678249.1504362	80	1678252.1869188	1678252.1877229	40	1678255.5672045	1678255.5678111	100	del	1678257.237526	nan	nan	nan	nan	nan
74.6318359375	0.0	40	152846	3	53	280	0	0	1678249.1496968	1678249.1504362	80	1678252.1869188	1678252.1877229	40	1678255.5672045	1678255.5678111	100	del	1678257.237526	nan	nan	nan	nan	nan
78.0126953125	0.0	100	159770	3	53	280	0	0	1678249.1496968	1678249.1504362	80	1678252.1869188	1678252.1877229	40	1678255.5672045	1678255.5678111	100	del	1678257.237526	nan	nan	nan	nan	nan
82.3369140625	0.0	80	168626	4	63	380	1	1	1678259.8917568	1678259.8925731	80	1678263.1130437	1678263.1138093	40	1678266.4018419	1678266.4026482	100	del	1678267.5580143	1678268.0729687	1678268.0736864	120.0	3.0	1678270.613865
85.5576171875	0.0	40	175222	4	63	380	1	1	1678259.8917568	1678259.8925731	80	1678263.1130437	1678263.1138093	40	1678266.4018419	1678266.4026482	100	del	1678267.5580143	1678268.0729687	1678268.0736864	120.0	3.0	1678270.613865
88.8466796875	0.0	100	181958	4	63	380	1	1	1678259.8917568	1678259.8925731	80	1678263.1130437	1678263.1138093	40	1678266.4018419	1678266.4026482	100	del	1678267.5580143	1678268.0729687	1678268.0736864	120.0	3.0	1678270.613865
90.51806640625	0.0	120	185381	4	63	380	1	1	1678259.8917568	1678259.8925731	80	1678263.1130437	1678263.1138093	40	1678266.4018419	1678266.4026482	100	del	1678267.5580143	1678268.0729687	1678268.0736864	120.0	3.0	1678270.613865
95.55517578125	0.0	80	195697	5	83	200	1	1	1678273.1102307	1678273.1126806	80	1678276.3350325	1678276.3374607	40	1678279.8478324	1678279.8509665	100	del	1678281.5100204	1678282.0258354	1678282.0266004	120.0	3.0	1678283.8540377
98.77978515625	0.0	40	202301	5	83	200	1	1	1678273.1102307	1678273.1126806	80	1678276.3350325	1678276.3374607	40	1678279.8478324	1678279.8509665	100	del	1678281.5100204	1678282.0258354	1678282.0266004	120.0	3.0	1678283.8540377
102.29248046875	0.0	100	209495	5	83	200	1	1	1678273.1102307	1678273.1126806	80	1678276.3350325	1678276.3374607	40	1678279.8478324	1678279.8509665	100	del	1678281.5100204	1678282.0258354	1678282.0266004	120.0	3.0	1678283.8540377
104.47021484375	0.0	120	213955	5	83	200	1	1	1678273.1102307	1678273.1126806	80	1678276.3350325	1678276.3374607	40	1678279.8478324	1678279.8509665	100	del	1678281.5100204	1678282.0258354	1678282.0266004	120.0	3.0	1678283.8540377
108.47509765625	0.0	80	222157	6	100	380	1	1	1678286.0301349	1678286.0308151	80	1678289.389082	1678289.3897972	40	1678292.7370448	1678292.7375936	100	del	1678294.6702168	1678295.1848249	1678295.1856022	120.0	3.0	1678297.173239
111.83349609375	0.0	40	229035	6	100	380	1	1	1678286.0301349	1678286.0308151	80	1678289.389082	1678289.3897972	40	1678292.7370448	1678292.7375936	100	del	1678294.6702168	1678295.1848249	1678295.1856022	120.0	3.0	1678297.173239
115.181640625	0.0	100	235892	6	100	380	1	1	1678286.0301349	1678286.0308151	80	1678289.389082	1678289.3897972	40	1678292.7370448	1678292.7375936	100	del	1678294.6702168	1678295.1848249	1678295.1856022	120.0	3.0	1678297.173239
117.62890625	0.0	120	240904	6	100	380	1	1	1678286.0301349	1678286.0308151	80	1678289.389082	1678289.3897972	40	1678292.7370448	1678292.7375936	100	del	1678294.6702168	1678295.1848249	1678295.1856022	120.0	3.0	1678297.173239
121.904296875	0.0	80	249660	7	97	380	1	0	1678299.4600412	1678299.4605286	80	1678302.818052	1678302.8185275	40	1678306.1670768	1678306.1676516	100	del	1678308.0631797	1678308.5784538	1678308.5812276	120.0	3.0	1678309.5269061
125.26220703125	0.0	40	256537	7	97	380	1	0	1678299.4600412	1678299.4605286	80	1678302.818052	1678302.8185275	40	1678306.1670768	1678306.1676516	100	del	1678308.0631797	1678308.5784538	1678308.5812276	120.0	3.0	1678309.5269061
128.611328125	0.0	100	263396	7	97	380	1	0	1678299.4600412	1678299.4605286	80	1678302.818052	1678302.8185275	40	1678306.1670768	1678306.1676516	100	del	1678308.0631797	1678308.5784538	1678308.5812276	120.0	3.0	1678309.5269061
131.0224609375	0.0	120	268334	7	97	380	1	0	1678299.4600412	1678299.4605286	80	1678302.818052	1678302.8185275	40	1678306.1670768	1678306.1676516	100	del	1678308.0631797	1678308.5784538	1678308.5812276	120.0	3.0	1678309.5269061
134.0771484375	0.0	80	274590	8	83	800	1	1	1678311.6333003	1678311.6337437	80	1678314.7050672	1678314.705677	40	1678318.2201294	1678318.2206052	100	del	1678319.0857356	1678319.6004119	1678319.6008055	120.0	3.0	1678320.9739876
137.14892578125	0.0	40	280881	8	83	800	1	1	1678311.6333003	1678311.6337437	80	1678314.7050672	1678314.705677	40	1678318.2201294	1678318.2206052	100	del	1678319.0857356	1678319.6004119	1678319.6008055	120.0	3.0	1678320.9739876
140.6640625	0.0	100	288080	8	83	800	1	1	1678311.6333003	1678311.6337437	80	1678314.7050672	1678314.705677	40	1678318.2201294	1678318.2206052	100	del	1678319.0857356	1678319.6004119	1678319.6008055	120.0	3.0	1678320.9739876
142.0439453125	0.0	120	290906	8	83	800	1	1	1678311.6333003	1678311.6337437	80	1678314.7050672	1678314.705677	40	1678318.2201294	1678318.2206052	100	del	1678319.0857356	1678319.6004119	1678319.6008055	120.0	3.0	1678320.9739876
145.5205078125	0.0	80	298026	9	100	560	0	0	1678323.0768507	1678323.0779141	80	1678326.1013223	1678326.1018158	40	1678329.3959622	1678329.3964297	100	del	1678330.9018661	nan	nan	nan	nan	nan
148.544921875	0.0	40	304220	9	100	560	0	0	1678323.0768507	1678323.0779141	80	1678326.1013223	1678326.1018158	40	1678329.3959622	1678329.3964297	100	del	1678330.9018661	nan	nan	nan	nan	nan
151.83935546875	0.0	100	310967	9	100	560	0	0	1678323.0768507	1678323.0779141	80	1678326.1013223	1678326.1018158	40	1678329.3959622	1678329.3964297	100	del	1678330.9018661	nan	nan	nan	nan	nan
156.306640625	0.0	80	320116	10	70	20	0	1	1678333.8630656	1678333.8636417	80	1678337.2056202	1678337.2062012	40	1678340.315667	1678340.3168952	100	del	1678341.7814124	nan	nan	nan	nan	nan
159.64892578125	0.0	40	326961	10	70	20	0	1	1678333.8630656	1678333.8636417	80	1678337.2056202	1678337.2062012	40	1678340.315667	1678340.3168952	100	del	1678341.7814124	nan	nan	nan	nan	nan
162.7587890625	0.0	100	333330	10	70	20	0	1	1678333.8630656	1678333.8636417	80	1678337.2056202	1678337.2062012	40	1678340.315667	1678340.3168952	100	del	1678341.7814124	nan	nan	nan	nan	nan
166.92919921875	0.0	80	341871	11	73	800	1	1	1678344.486299	1678344.4867922	80	1678347.7257628	1678347.7262861	40	1678351.2304723	1678351.2309818	100	del	1678352.9106417	1678353.4252279	1678353.4257347	120.0	3.0	1678354.8939597
170.1689453125	0.0	40	348506	11	73	800	1	1	1678344.486299	1678344.4867922	80	1678347.7257628	1678347.7262861	40	1678351.2304723	1678351.2309818	100	del	1678352.9106417	1678353.4252279	1678353.4257347	120.0	3.0	1678354.8939597
173.67333984375	0.0	100	355683	11	73	800	1	1	1678344.486299	1678344.4867922	80	1678347.7257628	1678347.7262861	40	1678351.2304723	1678351.2309818	100	del	1678352.9106417	1678353.4252279	1678353.4257347	120.0	3.0	1678354.8939597
175.8681640625	0.0	120	360178	11	73	800	1	1	1678344.486299	1678344.4867922	80	1678347.7257628	1678347.7262861	40	1678351.2304723	1678351.2309818	100	del	1678352.9106417	1678353.4252279	1678353.4257347	120.0	3.0	1678354.8939597
179.43115234375	0.0	80	367475	12	50	200	1	1	1678356.9882976	1678356.9887569	80	1678360.4243547	1678360.4252512	40	1678363.7620088	1678363.7625246	100	del	1678366.6853429	1678367.1991317	1678367.1996237	120.0	3.0	1678368.4780594
182.86669921875	0.0	40	374511	12	50	200	1	1	1678356.9882976	1678356.9887569	80	1678360.4243547	1678360.4252512	40	1678363.7620088	1678363.7625246	100	del	1678366.6853429	1678367.1991317	1678367.1996237	120.0	3.0	1678368.4780594
186.20458984375	0.0	100	381347	12	50	200	1	1	1678356.9882976	1678356.9887569	80	1678360.4243547	1678360.4252512	40	1678363.7620088	1678363.7625246	100	del	1678366.6853429	1678367.1991317	1678367.1996237	120.0	3.0	1678368.4780594
189.6416015625	0.0	120	388386	12	50	200	1	1	1678356.9882976	1678356.9887569	80	1678360.4243547	1678360.4252512	40	1678363.7620088	1678363.7625246	100	del	1678366.6853429	1678367.1991317	1678367.1996237	120.0	3.0	1678368.4780594
193.125	0.0	80	395520	13	50	1150	0	1	1678370.6824742	1678370.6828979	80	1678373.7856778	1678373.7862215	40	1678377.0075422	1678377.0077242	100	del	1678378.069836	nan	nan	nan	nan	nan
196.22802734375	0.0	40	401875	13	50	1150	0	1	1678370.6824742	1678370.6828979	80	1678373.7856778	1678373.7862215	40	1678377.0075422	1678377.0077242	100	del	1678378.069836	nan	nan	nan	nan	nan
199.4501953125	0.0	100	408474	13	50	1150	0	1	1678370.6824742	1678370.6828979	80	1678373.7856778	1678373.7862215	40	1678377.0075422	1678377.0077242	100	del	1678378.069836	nan	nan	nan	nan	nan
203.2646484375	0.0	80	416286	14	90	200	1	1	1678380.822109	1678380.8223063	80	1678383.8903074	1678383.8908229	40	1678387.19815	1678387.1986734	100	del	1678388.1669379	1678388.680804	1678388.6813163	120.0	3.0	1678392.4060413
206.33251953125	0.0	40	422569	14	90	200	1	1	1678380.822109	1678380.8223063	80	1678383.8903074	1678383.8908229	40	1678387.19815	1678387.1986734	100	del	1678388.1669379	1678388.680804	1678388.6813163	120.0	3.0	1678392.4060413
209.64013671875	0.0	100	429343	14	90	200	1	1	1678380.822109	1678380.8223063	80	1678383.8903074	1678383.8908229	40	1678387.19815	1678387.1986734	100	del	1678388.1669379	1678388.680804	1678388.6813163	120.0	3.0	1678392.4060413
