onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv	viv_time	viv_displaytime	viv_triggertime	viv_triggercode
29.7822265625	0.0	80	60994	1	93	60	0	1	1457256.3197232	1457256.3203968	80	1457259.6346024	1457259.6350727	40	1457263.0955412	1457263.0961978	100	del	1457264.7406948	nan	nan	nan	nan	nan
33.0966796875	0.0	40	67782	1	93	60	0	1	1457256.3197232	1457256.3203968	80	1457259.6346024	1457259.6350727	40	1457263.0955412	1457263.0961978	100	del	1457264.7406948	nan	nan	nan	nan	nan
36.5576171875	0.0	100	74870	1	93	60	0	1	1457256.3197232	1457256.3203968	80	1457259.6346024	1457259.6350727	40	1457263.0955412	1457263.0961978	100	del	1457264.7406948	nan	nan	nan	nan	nan
41.2197265625	0.0	80	84418	2	50	120	1	0	1457267.7575436	1457267.7586657	80	1457271.2324563	1457271.2334681	40	1457274.4534483	1457274.4547763	100	del	1457276.1872862	2.0	1457280.5073312	1457276.7066673	1457276.7072325	120.0
44.6943359375	0.0	40	91534	2	50	120	1	0	1457267.7575436	1457267.7586657	80	1457271.2324563	1457271.2334681	40	1457274.4534483	1457274.4547763	100	del	1457276.1872862	2.0	1457280.5073312	1457276.7066673	1457276.7072325	120.0
47.9150390625	0.0	100	98130	2	50	120	1	0	1457267.7575436	1457267.7586657	80	1457271.2324563	1457271.2334681	40	1457274.4534483	1457274.4547763	100	del	1457276.1872862	2.0	1457280.5073312	1457276.7066673	1457276.7072325	120.0
50.16845703125	0.0	120	102745	2	50	120	1	0	1457267.7575436	1457267.7586657	80	1457271.2324563	1457271.2334681	40	1457274.4534483	1457274.4547763	100	del	1457276.1872862	2.0	1457280.5073312	1457276.7066673	1457276.7072325	120.0
55.986328125	0.0	80	114660	3	90	22	1	1	1457282.5247334	1457282.5252245	80	1457285.8029679	1457285.8034023	40	1457288.9199513	1457288.9204221	100	imm	1457289.8274457	3.0	1457291.420244	1457290.3415452	1457290.3420355	120.0
59.2646484375	0.0	40	121374	3	90	22	1	1	1457282.5247334	1457282.5252245	80	1457285.8029679	1457285.8034023	40	1457288.9199513	1457288.9204221	100	imm	1457289.8274457	3.0	1457291.420244	1457290.3415452	1457290.3420355	120.0
62.38134765625	0.0	100	127757	3	90	22	1	1	1457282.5247334	1457282.5252245	80	1457285.8029679	1457285.8034023	40	1457288.9199513	1457288.9204221	100	imm	1457289.8274457	3.0	1457291.420244	1457290.3415452	1457290.3420355	120.0
63.802734375	0.0	120	130668	3	90	22	1	1	1457282.5247334	1457282.5252245	80	1457285.8029679	1457285.8034023	40	1457288.9199513	1457288.9204221	100	imm	1457289.8274457	3.0	1457291.420244	1457290.3415452	1457290.3420355	120.0
67.00634765625	0.0	80	137229	4	60	190	1	1	1457293.5453388	1457293.5458016	80	1457296.7155947	1457296.7160642	40	1457299.7776514	1457299.7781909	100	del	1457301.6441191	3.0	1457304.781256	1457302.1578548	1457302.1583442	120.0
70.1767578125	0.0	40	143722	4	60	190	1	1	1457293.5453388	1457293.5458016	80	1457296.7155947	1457296.7160642	40	1457299.7776514	1457299.7781909	100	del	1457301.6441191	3.0	1457304.781256	1457302.1578548	1457302.1583442	120.0
