onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv_displaytime	viv_triggertime	viv_triggercode	viv	viv_time
68.158203125	0.0	80	139588	1	73	370	1	0	1946689.1019682	1946689.1065657	80	1946692.296167	1946692.2985284	40	1946695.7984301	1946695.8011392	100	del	1946697.2930672	1946697.8104094	1946697.8122941	120.0	2.0	1946699.7886442
71.35205078125	0.0	40	146129	1	73	370	1	0	1946689.1019682	1946689.1065657	80	1946692.296167	1946692.2985284	40	1946695.7984301	1946695.8011392	100	del	1946697.2930672	1946697.8104094	1946697.8122941	120.0	2.0	1946699.7886442
74.85400390625	0.0	100	153301	1	73	370	1	0	1946689.1019682	1946689.1065657	80	1946692.296167	1946692.2985284	40	1946695.7984301	1946695.8011392	100	del	1946697.2930672	1946697.8104094	1946697.8122941	120.0	2.0	1946699.7886442
76.8662109375	0.0	120	157422	1	73	370	1	0	1946689.1019682	1946689.1065657	80	1946692.296167	1946692.2985284	40	1946695.7984301	1946695.8011392	100	del	1946697.2930672	1946697.8104094	1946697.8122941	120.0	2.0	1946699.7886442
80.9267578125	0.0	80	165738	2	97	160	0	1	1946701.8709504	1946701.8729232	80	1946705.2456948	1946705.2467115	40	1946708.5855344	1946708.5876461	100	del	1946710.5714617	nan	nan	nan	nan	nan
84.30126953125	0.0	40	172649	2	97	160	0	1	1946701.8709504	1946701.8729232	80	1946705.2456948	1946705.2467115	40	1946708.5855344	1946708.5876461	100	del	1946710.5714617	nan	nan	nan	nan	nan
87.64111328125	0.0	100	179489	2	97	160	0	1	1946701.8709504	1946701.8729232	80	1946705.2456948	1946705.2467115	40	1946708.5855344	1946708.5876461	100	del	1946710.5714617	nan	nan	nan	nan	nan
92.56787109375	0.0	80	189579	3	60	160	0	1	1946713.5126093	1946713.5130929	80	1946716.7199468	1946716.7204189	40	1946720.1087181	1946720.1092246	100	imm	1946721.4600635	nan	nan	nan	nan	nan
95.775390625	0.0	40	196148	3	60	160	0	1	1946713.5126093	1946713.5130929	80	1946716.7199468	1946716.7204189	40	1946720.1087181	1946720.1092246	100	imm	1946721.4600635	nan	nan	nan	nan	nan
99.1640625	0.0	100	203088	3	60	160	0	1	1946713.5126093	1946713.5130929	80	1946716.7199468	1946716.7204189	40	1946720.1087181	1946720.1092246	100	imm	1946721.4600635	nan	nan	nan	nan	nan
103.44970703125	0.0	80	211865	4	77	40	1	1	1946724.3947594	1946724.3951928	80	1946727.5637681	1946727.5642536	40	1946730.8530436	1946730.8534668	100	imm	1946732.2356616	1946732.7492129	1946732.7517382	120.0	3.0	1946735.0594941
106.61865234375	0.0	40	218355	4	77	40	1	1	1946724.3947594	1946724.3951928	80	1946727.5637681	1946727.5642536	40	1946730.8530436	1946730.8534668	100	imm	1946732.2356616	1946732.7492129	1946732.7517382	120.0	3.0	1946735.0594941
109.908203125	0.0	100	225092	4	77	40	1	1	1946724.3947594	1946724.3951928	80	1946727.5637681	1946727.5642536	40	1946730.8530436	1946730.8534668	100	imm	1946732.2356616	1946732.7492129	1946732.7517382	120.0	3.0	1946735.0594941
111.80419921875	0.0	120	228975	4	77	40	1	1	1946724.3947594	1946724.3951928	80	1946727.5637681	1946727.5642536	40	1946730.8530436	1946730.8534668	100	imm	1946732.2356616	1946732.7492129	1946732.7517382	120.0	3.0	1946735.0594941
116.61767578125	0.0	80	238833	5	87	140	1	1	1946737.5627807	1946737.5632797	80	1946740.8463251	1946740.8467527	40	1946744.0254172	1946744.0259046	100	del	1946747.9958177	1946748.5071351	1946748.5077259	120.0	4.0	1946749.7715417
119.90087890625	0.0	40	245557	5	87	140	1	1	1946737.5627807	1946737.5632797	80	1946740.8463251	1946740.8467527	40	1946744.0254172	1946744.0259046	100	del	1946747.9958177	1946748.5071351	1946748.5077259	120.0	4.0	1946749.7715417
123.080078125	0.0	100	252068	5	87	140	1	1	1946737.5627807	1946737.5632797	80	1946740.8463251	1946740.8467527	40	1946744.0254172	1946744.0259046	100	del	1946747.9958177	1946748.5071351	1946748.5077259	120.0	4.0	1946749.7715417
127.56201171875	0.0	120	261247	5	87	140	1	1	1946737.5627807	1946737.5632797	80	1946740.8463251	1946740.8467527	40	1946744.0254172	1946744.0259046	100	del	1946747.9958177	1946748.5071351	1946748.5077259	120.0	4.0	1946749.7715417
131.1474609375	0.0	80	268590	6	60	260	0	1	1946752.0931778	1946752.0935269	80	1946755.2816103	1946755.282051	40	1946758.6730764	1946758.6735452	100	imm	1946760.9719618	nan	nan	nan	nan	nan
134.3359375	0.0	40	275120	6	60	260	0	1	1946752.0931778	1946752.0935269	80	1946755.2816103	1946755.282051	40	1946758.6730764	1946758.6735452	100	imm	1946760.9719618	nan	nan	nan	nan	nan
137.7275390625	0.0	100	282066	6	60	260	0	1	1946752.0931778	1946752.0935269	80	1946755.2816103	1946755.282051	40	1946758.6730764	1946758.6735452	100	imm	1946760.9719618	nan	nan	nan	nan	nan
142.74853515625	0.0	80	292349	7	80	370	1	1	1946763.6943911	1946763.6948264	80	1946766.9472025	1946766.9476202	40	1946770.3073253	1946770.3078471	100	del	1946771.5888287	1946772.1010296	1946772.1014298	120.0	2.0	1946776.3078319
146.00146484375	0.0	40	299011	7	80	370	1	1	1946763.6943911	1946763.6948264	80	1946766.9472025	1946766.9476202	40	1946770.3073253	1946770.3078471	100	del	1946771.5888287	1946772.1010296	1946772.1014298	120.0	2.0	1946776.3078319
149.361328125	0.0	100	305892	7	80	370	1	1	1946763.6943911	1946763.6948264	80	1946766.9472025	1946766.9476202	40	1946770.3073253	1946770.3078471	100	del	1946771.5888287	1946772.1010296	1946772.1014298	120.0	2.0	1946776.3078319
151.15478515625	0.0	120	309565	7	80	370	1	1	1946763.6943911	1946763.6948264	80	1946766.9472025	1946766.9476202	40	1946770.3073253	1946770.3078471	100	del	1946771.5888287	1946772.1010296	1946772.1014298	120.0	2.0	1946776.3078319
157.86279296875	0.0	80	323303	8	60	970	0	1	1946778.8090602	1946778.8095621	80	1946781.9810648	1946781.9815789	40	1946785.4134669	1946785.413964	100	imm	1946786.3312345	nan	nan	nan	nan	nan
161.03466796875	0.0	40	329799	8	60	970	0	1	1946778.8090602	1946778.8095621	80	1946781.9810648	1946781.9815789	40	1946785.4134669	1946785.413964	100	imm	1946786.3312345	nan	nan	nan	nan	nan
164.46728515625	0.0	100	336829	8	60	970	0	1	1946778.8090602	1946778.8095621	80	1946781.9810648	1946781.9815789	40	1946785.4134669	1946785.413964	100	imm	1946786.3312345	nan	nan	nan	nan	nan
168.27294921875	0.0	80	344623	9	50	160	0	1	1946789.2191796	1946789.2196667	80	1946792.7038875	1946792.7043408	40	1946795.7339129	1946795.7344543	100	imm	1946797.1475835	nan	nan	nan	nan	nan
171.75732421875	0.0	40	351759	9	50	160	0	1	1946789.2191796	1946789.2196667	80	1946792.7038875	1946792.7043408	40	1946795.7339129	1946795.7344543	100	imm	1946797.1475835	nan	nan	nan	nan	nan
174.787109375	0.0	100	357964	9	50	160	0	1	1946789.2191796	1946789.2196667	80	1946792.7038875	1946792.7043408	40	1946795.7339129	1946795.7344543	100	imm	1946797.1475835	nan	nan	nan	nan	nan
178.900390625	0.0	80	366388	10	80	970	0	1	1946799.8470179	1946799.8474385	80	1946803.1857521	1946803.1862785	40	1946806.3395224	1946806.3401614	100	imm	1946807.3408434	nan	nan	nan	nan	nan
182.23876953125	0.0	40	373225	10	80	970	0	1	1946799.8470179	1946799.8474385	80	1946803.1857521	1946803.1862785	40	1946806.3395224	1946806.3401614	100	imm	1946807.3408434	nan	nan	nan	nan	nan
185.392578125	0.0	100	379684	10	80	970	0	1	1946799.8470179	1946799.8474385	80	1946803.1857521	1946803.1862785	40	1946806.3395224	1946806.3401614	100	imm	1946807.3408434	nan	nan	nan	nan	nan
189.02392578125	0.0	80	387121	11	60	40	1	1	1946809.970986	1946809.9714488	80	1946813.3334358	1946813.3338064	40	1946816.6584646	1946816.6589904	100	del	1946817.987903	1946818.4990994	1946818.4994314	120.0	2.0	1946821.1394114
192.38623046875	0.0	40	394007	11	60	40	1	1	1946809.970986	1946809.9714488	80	1946813.3334358	1946813.3338064	40	1946816.6584646	1946816.6589904	100	del	1946817.987903	1946818.4990994	1946818.4994314	120.0	2.0	1946821.1394114
195.71142578125	0.0	100	400817	11	60	40	1	1	1946809.970986	1946809.9714488	80	1946813.3334358	1946813.3338064	40	1946816.6584646	1946816.6589904	100	del	1946817.987903	1946818.4990994	1946818.4994314	120.0	2.0	1946821.1394114
197.5517578125	0.0	120	404586	11	60	40	1	1	1946809.970986	1946809.9714488	80	1946813.3334358	1946813.3338064	40	1946816.6584646	1946816.6589904	100	del	1946817.987903	1946818.4990994	1946818.4994314	120.0	2.0	1946821.1394114
202.50146484375	0.0	80	414723	12	93	160	0	1	1946823.448903	1946823.4493629	80	1946826.7861001	1946826.7864854	40	1946829.8229968	1946829.8234939	100	del	1946831.1072099	nan	nan	nan	nan	nan
205.8388671875	0.0	40	421558	12	93	160	0	1	1946823.448903	1946823.4493629	80	1946826.7861001	1946826.7864854	40	1946829.8229968	1946829.8234939	100	del	1946831.1072099	nan	nan	nan	nan	nan
208.87548828125	0.0	100	427777	12	93	160	0	1	1946823.448903	1946823.4493629	80	1946826.7861001	1946826.7864854	40	1946829.8229968	1946829.8234939	100	del	1946831.1072099	nan	nan	nan	nan	nan
212.85107421875	0.0	80	435919	13	100	260	0	0	1946833.7987042	1946833.7991812	80	1946837.0321019	1946837.0325926	40	1946840.1665318	1946840.1670073	100	del	1946860.6192765	nan	nan	nan	nan	nan
216.08447265625	0.0	40	442541	13	100	260	0	0	1946833.7987042	1946833.7991812	80	1946837.0321019	1946837.0325926	40	1946840.1665318	1946840.1670073	100	del	1946860.6192765	nan	nan	nan	nan	nan
219.21875	0.0	100	448960	13	100	260	0	0	1946833.7987042	1946833.7991812	80	1946837.0321019	1946837.0325926	40	1946840.1665318	1946840.1670073	100	del	1946860.6192765	nan	nan	nan	nan	nan
242.54345703125	0.0	80	496729	14	90	140	1	0	1946863.4916546	1946863.4920682	80	1946866.9268496	1946866.9273394	40	1946870.0806788	1946870.08116	100	del	1946876.2282168	1946876.7420785	1946876.7425517	120.0	1.0	1946879.3235194
245.978515625	0.0	40	503764	14	90	140	1	0	1946863.4916546	1946863.4920682	80	1946866.9268496	1946866.9273394	40	1946870.0806788	1946870.08116	100	del	1946876.2282168	1946876.7420785	1946876.7425517	120.0	1.0	1946879.3235194
249.13232421875	0.0	100	510223	14	90	140	1	0	1946863.4916546	1946863.4920682	80	1946866.9268496	1946866.9273394	40	1946870.0806788	1946870.08116	100	del	1946876.2282168	1946876.7420785	1946876.7425517	120.0	1.0	1946879.3235194
255.79345703125	0.0	120	523865	14	90	140	1	0	1946863.4916546	1946863.4920682	80	1946866.9268496	1946866.9273394	40	1946870.0806788	1946870.08116	100	del	1946876.2282168	1946876.7420785	1946876.7425517	120.0	1.0	1946879.3235194
260.75439453125	0.0	80	534025	15	100	40	1	1	1946881.7031867	1946881.7036705	80	1946884.77953	1946884.7799738	40	1946888.2114674	1946888.2119874	100	del	1946889.0207905	1946889.5329656	1946889.5334543	120.0	4.0	1946891.7472153
263.83056640625	0.0	40	540325	15	100	40	1	1	1946881.7031867	1946881.7036705	80	1946884.77953	1946884.7799738	40	1946888.2114674	1946888.2119874	100	del	1946889.0207905	1946889.5329656	1946889.5334543	120.0	4.0	1946891.7472153
267.2626953125	0.0	100	547354	15	100	40	1	1	1946881.7031867	1946881.7036705	80	1946884.77953	1946884.7799738	40	1946888.2114674	1946888.2119874	100	del	1946889.0207905	1946889.5329656	1946889.5334543	120.0	4.0	1946891.7472153
268.583984375	0.0	120	550060	15	100	40	1	1	1946881.7031867	1946881.7036705	80	1946884.77953	1946884.7799738	40	1946888.2114674	1946888.2119874	100	del	1946889.0207905	1946889.5329656	1946889.5334543	120.0	4.0	1946891.7472153
272.8828125	0.0	80	558864	16	60	700	1	1	1946893.831642	1946893.8321661	80	1946897.1338688	1946897.134334	40	1946900.3315208	1946900.3320493	100	imm	1946902.1476607	1946902.6584059	1946902.658899	120.0	2.0	1946905.315188
276.1845703125	0.0	40	565626	16	60	700	1	1	1946893.831642	1946893.8321661	80	1946897.1338688	1946897.134334	40	1946900.3315208	1946900.3320493	100	imm	1946902.1476607	1946902.6584059	1946902.658899	120.0	2.0	1946905.315188
279.38232421875	0.0	100	572175	16	60	700	1	1	1946893.831642	1946893.8321661	80	1946897.1338688	1946897.134334	40	1946900.3315208	1946900.3320493	100	imm	1946902.1476607	1946902.6584059	1946902.658899	120.0	2.0	1946905.315188
281.708984375	0.0	120	576940	16	60	700	1	1	1946893.831642	1946893.8321661	80	1946897.1338688	1946897.134334	40	1946900.3315208	1946900.3320493	100	imm	1946902.1476607	1946902.6584059	1946902.658899	120.0	2.0	1946905.315188
286.783203125	0.0	80	587332	17	53	700	1	1	1946907.7327142	1946907.7331447	80	1946910.9919463	1946910.9923658	40	1946914.2508222	1946914.2512701	100	imm	1946915.4988883	1946916.0123163	1946916.012891	120.0	1.0	1946918.1950952
290.04248046875	0.0	40	594007	17	53	700	1	1	1946907.7327142	1946907.7331447	80	1946910.9919463	1946910.9923658	40	1946914.2508222	1946914.2512701	100	imm	1946915.4988883	1946916.0123163	1946916.012891	120.0	1.0	1946918.1950952
293.30126953125	0.0	100	600681	17	53	700	1	1	1946907.7327142	1946907.7331447	80	1946910.9919463	1946910.9923658	40	1946914.2508222	1946914.2512701	100	imm	1946915.4988883	1946916.0123163	1946916.012891	120.0	1.0	1946918.1950952
295.06298828125	0.0	120	604289	17	53	700	1	1	1946907.7327142	1946907.7331447	80	1946910.9919463	1946910.9923658	40	1946914.2508222	1946914.2512701	100	imm	1946915.4988883	1946916.0123163	1946916.012891	120.0	1.0	1946918.1950952
299.6962890625	0.0	80	613778	18	77	970	0	0	1946920.6462437	1946920.6466138	80	1946923.8308574	1946923.8313325	40	1946927.0689203	1946927.0694311	100	imm	1946928.1245667	nan	nan	nan	nan	nan
302.880859375	0.0	40	620300	18	77	970	0	0	1946920.6462437	1946920.6466138	80	1946923.8308574	1946923.8313325	40	1946927.0689203	1946927.0694311	100	imm	1946928.1245667	nan	nan	nan	nan	nan
306.119140625	0.0	100	626932	18	77	970	0	0	1946920.6462437	1946920.6466138	80	1946923.8308574	1946923.8313325	40	1946927.0689203	1946927.0694311	100	imm	1946928.1245667	nan	nan	nan	nan	nan
310.173828125	0.0	80	635236	19	63	180	1	1	1946931.1235509	1946931.1240753	80	1946934.1528844	1946934.1532664	40	1946937.6523421	1946937.6528435	100	del	1946943.8034515	1946944.3170093	1946944.3174949	120.0	4.0	1946947.2513434
313.20263671875	0.0	40	641439	19	63	180	1	1	1946931.1235509	1946931.1240753	80	1946934.1528844	1946934.1532664	40	1946937.6523421	1946937.6528435	100	del	1946943.8034515	1946944.3170093	1946944.3174949	120.0	4.0	1946947.2513434
316.7021484375	0.0	100	648606	19	63	180	1	1	1946931.1235509	1946931.1240753	80	1946934.1528844	1946934.1532664	40	1946937.6523421	1946937.6528435	100	del	1946943.8034515	1946944.3170093	1946944.3174949	120.0	4.0	1946947.2513434
323.36669921875	0.0	120	662255	19	63	180	1	1	1946931.1235509	1946931.1240753	80	1946934.1528844	1946934.1532664	40	1946937.6523421	1946937.6528435	100	del	1946943.8034515	1946944.3170093	1946944.3174949	120.0	4.0	1946947.2513434
328.4072265625	0.0	80	672578	20	50	700	1	0	1946949.3579116	1946949.3582451	80	1946952.6984464	1946952.6989349	40	1946956.0042536	1946956.004751	100	imm	1946957.6510683	1946958.1617449	1946958.1621404	120.0	1.0	1946960.4837497
331.748046875	0.0	40	679420	20	50	700	1	0	1946949.3579116	1946949.3582451	80	1946952.6984464	1946952.6989349	40	1946956.0042536	1946956.004751	100	imm	1946957.6510683	1946958.1617449	1946958.1621404	120.0	1.0	1946960.4837497
335.0537109375	0.0	100	686190	20	50	700	1	0	1946949.3579116	1946949.3582451	80	1946952.6984464	1946952.6989349	40	1946956.0042536	1946956.004751	100	imm	1946957.6510683	1946958.1617449	1946958.1621404	120.0	1.0	1946960.4837497
337.2109375	0.0	120	690608	20	50	700	1	0	1946949.3579116	1946949.3582451	80	1946952.6984464	1946952.6989349	40	1946956.0042536	1946956.004751	100	imm	1946957.6510683	1946958.1617449	1946958.1621404	120.0	1.0	1946960.4837497
355.4990234375	0.0	80	728062	21	63	510	0	1	1946976.4500137	1946976.4503577	80	1946979.6387713	1946979.639302	40	1946982.962542	1946982.9630203	100	imm	1946984.6042809	nan	nan	nan	nan	nan
358.6875	0.0	40	734592	21	63	510	0	1	1946976.4500137	1946976.4503577	80	1946979.6387713	1946979.639302	40	1946982.962542	1946982.9630203	100	imm	1946984.6042809	nan	nan	nan	nan	nan
362.01123046875	0.0	100	741399	21	63	510	0	1	1946976.4500137	1946976.4503577	80	1946979.6387713	1946979.639302	40	1946982.962542	1946982.9630203	100	imm	1946984.6042809	nan	nan	nan	nan	nan
366.57568359375	0.0	80	750747	22	93	700	1	0	1946987.5272358	1946987.5276658	80	1946990.5443802	1946990.544898	40	1946993.5990991	1946993.5995797	100	del	1946998.6188398	1946999.1285078	1946999.1288163	120.0	3.0	1947001.7868054
369.5927734375	0.0	40	756926	22	93	700	1	0	1946987.5272358	1946987.5276658	80	1946990.5443802	1946990.544898	40	1946993.5990991	1946993.5995797	100	del	1946998.6188398	1946999.1285078	1946999.1288163	120.0	3.0	1947001.7868054
